gid,id,team,p_ipouts,p_seq,p_h,p_r,p_er,p_w,p_hbp,p_wp,date,wl,team_name,ballpark,left_field,center_field,right_field,min_wall_height,max_wall_height,daynight,attendance,precip,sky,temp,winddir,windspeed,season_era
BOS202303300,gibsk002,BAL,15,1,6,4,4,1,1,0,20230330,w,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,4.708
BOS202303300,akink001,BAL,3,2,1,0,0,0,0,0,20230330,w,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,6.845
BOS202303300,perec004,BAL,3,3,0,0,0,0,0,0,20230330,w,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,3.436
BOS202303300,bakeb001,BAL,2,4,2,3,3,1,1,0,20230330,w,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,4.169
BOS202303300,gilll001,BAL,1,5,0,0,0,0,0,0,20230330,w,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,6.000
BOS202303300,bautf001,BAL,3,6,2,2,1,1,0,0,20230330,w,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,1.751
BOS202303300,klubc001,BOS,10,1,6,5,5,4,0,0,20230330,l,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,7.036
BOS202303300,kellz001,BOS,2,2,0,0,0,2,0,1,20230330,l,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,3.857
BOS202303300,brasr001,BOS,3,3,2,3,3,2,1,1,20230330,l,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,3.048
BOS202303300,ort-k001,BOS,6,4,4,2,2,0,0,0,20230330,l,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,6.261
BOS202303300,wincj001,BOS,3,5,1,0,0,0,0,0,20230330,l,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,2.881
BOS202303300,martc007,BOS,3,6,2,0,0,1,0,0,20230330,l,BOS,Fenway Park,310,420,302,3.0,37,day,36049,none,sunny,38,ltor,12,1.052
CHN202303300,burnc002,MIL,15,1,4,4,4,3,1,0,20230330,l,CHN,Wrigley Field,355,400,353,11.5,15,day,36054,none,sunny,42,rtol,10,3.506
CHN202303300,strzp001,MIL,3,2,0,0,0,0,0,0,20230330,l,CHN,Wrigley Field,355,400,353,11.5,15,day,36054,none,sunny,42,rtol,10,4.378
CHN202303300,varlg001,MIL,3,3,2,0,0,1,0,0,20230330,l,CHN,Wrigley Field,355,400,353,11.5,15,day,36054,none,sunny,42,rtol,10,6.639
CHN202303300,guerj004,MIL,3,4,0,0,0,0,0,0,20230330,l,CHN,Wrigley Field,355,400,353,11.5,15,day,36054,none,sunny,42,rtol,10,6.052
CHN202303300,strom001,CHN,18,1,3,0,0,3,0,1,20230330,w,CHN,Wrigley Field,355,400,353,11.5,15,day,36054,none,sunny,42,rtol,10,3.951
CHN202303300,thomk002,CHN,3,2,0,0,0,1,0,0,20230330,w,CHN,Wrigley Field,355,400,353,11.5,15,day,36054,none,sunny,42,rtol,10,4.709
CHN202303300,boxbb001,CHN,3,3,0,0,0,1,0,0,20230330,w,CHN,Wrigley Field,355,400,353,11.5,15,day,36054,none,sunny,42,rtol,10,4.950
CHN202303300,fulmm001,CHN,3,4,1,0,0,0,0,0,20230330,w,CHN,Wrigley Field,355,400,353,11.5,15,day,36054,none,sunny,42,rtol,10,4.421
CIN202303300,kellm003,PIT,14,1,5,4,4,4,0,0,20230330,w,CIN,Great American Ball Park,328,404,325,8.0,12,day,44063,none,sunny,61,fromrf,6,4.239
CIN202303300,mored002,PIT,3,2,0,0,0,2,0,0,20230330,w,CIN,Great American Ball Park,328,404,325,8.0,12,day,44063,none,sunny,61,fromrf,6,3.724
