gid,daynight,attendance,precip,sky,temp,winddir,windspeed
BOS202303300,day,36049,none,sunny,38,ltor,12
CHN202303300,day,36054,none,sunny,42,rtol,10
CIN202303300,day,44063,none,sunny,61,fromrf,6
HOU202303300,night,43032,none,dome,73,unknown,0
KCA202303300,day,38351,none,cloudy,67,rtol,20
LAN202303300,night,52075,none,sunny,54,torf,4
MIA202303300,day,31397,none,dome,76,unknown,0
NYA202303300,day,46172,none,sunny,39,ltor,13
OAK202303300,night,26805,none,cloudy,52,torf,10
SDN202303300,night,45103,none,cloudy,56,ltor,7
SEA202303300,night,45268,none,cloudy,54,tolf,11
SLN202303300,day,47649,none,sunny,70,tolf,16
TBA202303300,day,25025,none,dome,72,unknown,0
TEX202303300,day,38387,none,cloudy,69,unknown,12
WAS202303300,day,35756,none,sunny,45,torf,8
HOU202303310,night,41453,none,dome,73,unknown,0
LAN202303310,night,45389,none,cloudy,56,ltor,9
MIA202303310,night,14797,none,cloudy,80,fromlf,13
SDN202303310,night,43177,none,cloudy,58,ltor,8
SEA202303310,night,31516,none,dome,45,unknown,0
BOS202304010,day,29062,none,cloudy,56,unknown,4
CHN202304010,day,31363,none,cloudy,39,fromlf,23
CIN202304010,day,22224,none,cloudy,45,unknown,23
HOU202304010,day,37519,none,dome,73,unknown,0
KCA202304010,day,16633,none,sunny,55,ltor,12
LAN202304010,night,48886,none,sunny,64,tocf,7
MIA202304010,day,14695,none,dome,72,unknown,0
NYA202304010,day,41642,none,sunny,68,tolf,16
OAK202304010,day,15757,none,sunny,58,torf,7
SDN202304010,night,42663,none,sunny,60,ltor,12
SEA202304010,night,44250,none,cloudy,47,tocf,11
SLN202304010,day,44461,none,cloudy,46,torf,23
TBA202304010,day,20204,none,dome,72,unknown,0
TEX202304010,day,31916,none,sunny,71,fromcf,8
WAS202304010,day,27529,none,cloudy,73,tolf,18
BOS202304020,day,27886,none,sunny,43,torf,8
CHN202304020,day,33266,none,sunny,47,tocf,7
CIN202304020,day,14421,none,cloudy,49,rtol,6
HOU202304020,day,42835,none,dome,73,unknown,0
KCA202304020,day,14589,none,sunny,72,rtol,23
LAN202304020,day,46549,none,sunny,68,tocf,5
MIA202304020,day,18322,none,dome,72,unknown,0
NYA202304020,day,42053,none,sunny,47,ltor,15
OAK202304020,day,14638,none,cloudy,56,torf,14
SDN202304020,day,43972,none,sunny,62,ltor,8
SEA202304020,day,34045,none,cloudy,44,tocf,4
SLN202304020,day,45525,none,sunny,63,fromrf,13
TBA202304020,day,19425,none,dome,72,unknown,0
TEX202304020,night,25823,none,dome,72,unknown,0
WAS202304020,day,21440,none,sunny,54,torf,10
BOS202304030,night,28369,none,sunny,50,tolf,6
CHA202304030,day,34784,none,cloudy,57,fromlf,9
CIN202304030,night,11941,none,sunny,71,rtol,12
HOU202304030,night,29272,none,sunny,73,unknown,0
KCA202304030,night,10810,none,sunny,73,ltor,6
LAN202304030,night,49792,none,sunny,57,ltor,11
MIA202304030,night,8898,none,cloudy,83,tolf,11
MIL202304030,day,42017,none,dome,65,unknown,0
NYA202304030,night,37202,none,cloudy,53,tolf,17
OAK202304030,night,3035,none,cloudy,54,unknown,28
SDN202304030,night,37602,none,cloudy,56,torf,16
SEA202304030,night,18877,none,cloudy,45,ltor,2
SLN202304030,night,37689,none,sunny,77,rtol,15
TEX202304030,night,15867,none,dome,74,unknown,0
WAS202304030,night,10754,none,cloudy,70,rtol,4
BOS202304040,night,28842,none,cloudy,50,fromcf,4
CIN202304040,night,13399,none,cloudy,76,unknown,8
HOU202304040,night,30613,none,dome,73,unknown,0
KCA202304040,night,12123,none,overcast,80,rtol,22
LAN202304040,night,52290,none,cloudy,58,ltor,9
MIA202304040,night,10668,none,sunny,83,fromlf,10
MIL202304040,night,19412,none,dome,63,unknown,0
NYA202304040,night,35392,none,cloudy,65,rtol,8
OAK202304040,night,3407,none,cloudy,54,unknown,13
SDN202304040,day,34542,none,sunny,57,ltor,13
SEA202304040,night,19255,none,cloudy,50,torf,2
SLN202304040,night,36501,none,overcast,82,tolf,18
TEX202304040,night,16268,none,dome,74,unknown,0
WAS202304040,night,15272,none,cloudy,80,rtol,2
BOS202304050,day,24477,none,cloudy,41,torf,5
CHA202304050,day,15980,none,overcast,67,tolf,23
HOU202304050,day,37932,none,dome,73,unknown,0
KCA202304050,night,10015,none,sunny,52,ltor,14
MIA202304050,day,8981,none,cloudy,84,fromlf,14
MIL202304050,day,18387,none,dome,66,unknown,0
NYA202304050,day,35847,drizzle,overcast,48,ltor,15
OAK202304050,day,4930,none,cloudy,57,torf,7
SEA202304050,day,25648,none,cloudy,48,tolf,2
SLN202304050,day,36300,none,cloudy,60,torf,10
TEX202304050,day,18560,none,dome,74,unknown,0
WAS202304050,day,13836,none,cloudy,83,tocf,11
ARI202304060,night,48034,none,cloudy,75,ltor,6
ATL202304060,night,42803,none,cloudy,81,rtol,3
CHA202304060,day,18261,none,sunny,46,tolf,10
COL202304060,day,48230,none,sunny,51,tolf,5
DET202304060,day,44650,none,cloudy,47,tolf,14
KCA202304060,day,10401,none,sunny,51,ltor,12
ANA202304070,night,44735,none,cloudy,64,tocf,6
ARI202304070,night,30249,none,sunny,77,ltor,9
ATL202304070,night,41963,none,cloudy,66,rtol,5
BAL202304070,day,45017,none,overcast,55,torf,6
CHN202304070,day,29094,none,sunny,43,fromrf,11
CLE202304070,day,34821,none,cloudy,41,fromrf,9
COL202304070,night,30869,none,cloudy,64,fromlf,5
MIL202304070,night,28459,none,dome,64,unknown,0
MIN202304070,day,38465,none,sunny,47,rtol,10
NYN202304070,day,43590,none,cloudy,56,ltor,6
PHI202304070,day,44365,none,cloudy,57,ltor,10
PIT202304070,day,39167,none,cloudy,53,tocf,7
SFN202304070,day,40711,none,cloudy,57,rtol,12
TBA202304070,night,15980,none,dome,72,unknown,0
ANA202304080,night,44534,none,sunny,63,tocf,8
ARI202304080,night,26881,none,sunny,81,tocf,4
ATL202304080,night,40154,none,cloudy,44,ltor,12
BAL202304080,night,30561,none,overcast,51,fromlf,7
CHN202304080,day,33578,none,sunny,57,tolf,10
CLE202304080,night,17489,none,sunny,45,fromcf,5
COL202304080,night,34503,none,cloudy,65,fromlf,9
DET202304080,day,21835,none,sunny,50,fromcf,6
MIL202304080,night,43077,none,dome,65,unknown,0
MIN202304080,day,26330,none,sunny,56,rtol,8
NYN202304080,day,42306,none,cloudy,52,fromlf,2
PHI202304080,day,44526,none,cloudy,53,rtol,3
PIT202304080,night,21162,none,cloudy,51,fromlf,4
SFN202304080,day,35126,none,overcast,59,unknown,6
TBA202304080,day,15880,none,dome,72,unknown,0
ANA202304090,day,31092,none,sunny,72,tocf,5
ARI202304090,day,18543,none,sunny,86,unknown,5
ATL202304090,night,40138,none,sunny,63,ltor,8
BAL202304090,day,29221,none,cloudy,55,rtol,6
CHN202304090,day,28807,none,cloudy,63,tolf,6
CLE202304090,day,12716,none,sunny,52,fromcf,7
COL202304090,day,30283,none,cloudy,63,rtol,3
DET202304090,day,14885,none,sunny,55,fromcf,7
MIL202304090,day,27701,none,sunny,63,rtol,12
MIN202304090,day,14316,none,cloudy,62,tolf,14
NYN202304090,day,33697,none,sunny,49,fromcf,6
PHI202304090,day,39129,none,sunny,58,fromlf,5
PIT202304090,day,10571,none,sunny,56,fromcf,8
SFN202304090,day,30207,none,cloudy,65,torf,7
TBA202304090,day,11159,none,dome,72,unknown,0
ANA202304100,night,19557,none,sunny,66,tocf,6
ARI202304100,night,12681,none,sunny,94,torf,2
ATL202304100,night,30237,none,sunny,65,ltor,9
BAL202304100,night,9322,none,sunny,64,tolf,6
CHN202304100,night,26766,none,sunny,67,tolf,8
CLE202304100,night,19278,none,cloudy,56,fromrf,2
COL202304100,night,24092,none,sunny,75,fromcf,6
MIN202304100,day,12078,none,cloudy,66,torf,7
NYN202304100,night,30244,none,sunny,55,tolf,9
PHI202304100,night,28642,none,sunny,64,tocf,9
PIT202304100,night,10222,none,sunny,69,tolf,3
SFN202304100,night,35232,none,cloudy,55,tocf,12
TBA202304100,night,13470,none,dome,72,unknown,0
TEX202304100,night,17430,none,cloudy,73,fromlf,9
ANA202304110,night,27390,none,cloudy,63,rtol,8
ARI202304110,night,17069,none,sunny,93,unknown,5
ATL202304110,night,33559,none,sunny,71,ltor,4
BAL202304110,night,12305,none,cloudy,76,torf,5
CHN202304110,night,30081,none,cloudy,76,tocf,13
CLE202304110,night,20164,none,sunny,59,torf,5
COL202304110,night,25399,none,sunny,82,fromcf,8
MIN202304110,night,16153,none,sunny,78,rtol,11
NYN202304110,night,30769,none,cloudy,69,torf,8
PHI202304110,night,43444,none,cloudy,70,ltor,13
PIT202304110,night,9996,none,sunny,72,tocf,13
SFN202304110,night,30768,none,cloudy,56,unknown,23
TBA202304110,night,12649,none,dome,72,unknown,0
TEX202304110,night,17760,none,cloudy,73,fromrf,10
TOR202304110,night,42053,none,dome,68,unknown,0
ANA202304120,day,17780,none,cloudy,65,tocf,7
ARI202304120,day,13136,none,dome,72,unknown,0
ATL202304120,night,30648,none,sunny,75,ltor,7
BAL202304120,night,10181,none,sunny,84,torf,14
CHN202304120,day,26944,none,sunny,77,tocf,19
CLE202304120,day,23164,none,sunny,70,fromlf,3
COL202304120,day,22250,none,cloudy,85,tolf,10
MIN202304120,day,17658,none,sunny,76,tolf,14
NYN202304120,day,34876,none,sunny,77,ltor,12
PHI202304120,day,29584,none,sunny,84,torf,15
PIT202304120,day,10064,none,sunny,77,tolf,13
SFN202304120,night,34903,none,sunny,55,torf,19
TBA202304120,night,17136,none,dome,72,unknown,0
TEX202304120,night,18380,none,sunny,75,unknown,12
TOR202304120,night,35300,none,sunny,61,tocf,16
BAL202304130,day,11665,none,sunny,84,tolf,6
CIN202304130,night,12170,none,sunny,82,fromrf,5
NYA202304130,night,39024,none,sunny,86,tocf,12
SDN202304130,night,43296,none,cloudy,55,ltor,8
SLN202304130,night,37805,none,sunny,79,tolf,10
TBA202304130,day,21175,none,dome,72,unknown,0
TOR202304130,night,26192,none,sunny,59,torf,5
BOS202304140,night,36680,none,cloudy,58,tolf,4
CHA202304140,night,18941,none,cloudy,72,torf,9
CIN202304140,night,17610,none,cloudy,81,fromrf,6
DET202304140,night,15289,none,cloudy,80,fromlf,9
HOU202304140,night,39343,none,dome,73,unknown,0
KCA202304140,night,20186,none,cloudy,77,rtol,12
LAN202304140,night,52298,none,sunny,59,ltor,4
MIA202304140,night,10961,none,dome,72,unknown,0
NYA202304140,night,41039,none,cloudy,78,tolf,14
OAK202304140,night,11102,none,sunny,56,torf,12
SDN202304140,night,43822,none,cloudy,59,ltor,8
SEA202304140,night,32698,none,sunny,56,unknown,0
SLN202304140,night,40637,none,sunny,78,rtol,12
TOR202304140,night,34822,none,sunny,59,tolf,11
