gid,id,team,p_ipouts,p_seq,p_h,p_r,p_er,p_w,p_hbp,p_wp,date,wl
BOS202303300,gibsk002,BAL,15,1,6,4,4,1,1,0,20230330,w
BOS202303300,akink001,BAL,3,2,1,0,0,0,0,0,20230330,w
BOS202303300,perec004,BAL,3,3,0,0,0,0,0,0,20230330,w
BOS202303300,bakeb001,BAL,2,4,2,3,3,1,1,0,20230330,w
BOS202303300,gilll001,BAL,1,5,0,0,0,0,0,0,20230330,w
BOS202303300,bautf001,BAL,3,6,2,2,1,1,0,0,20230330,w
BOS202303300,klubc001,BOS,10,1,6,5,5,4,0,0,20230330,l
BOS202303300,kellz001,BOS,2,2,0,0,0,2,0,1,20230330,l
BOS202303300,brasr001,BOS,3,3,2,3,3,2,1,1,20230330,l
BOS202303300,ort-k001,BOS,6,4,4,2,2,0,0,0,20230330,l
BOS202303300,wincj001,BOS,3,5,1,0,0,0,0,0,20230330,l
BOS202303300,martc007,BOS,3,6,2,0,0,1,0,0,20230330,l
CHN202303300,burnc002,MIL,15,1,4,4,4,3,1,0,20230330,l
CHN202303300,strzp001,MIL,3,2,0,0,0,0,0,0,20230330,l
CHN202303300,varlg001,MIL,3,3,2,0,0,1,0,0,20230330,l
CHN202303300,guerj004,MIL,3,4,0,0,0,0,0,0,20230330,l
CHN202303300,strom001,CHN,18,1,3,0,0,3,0,1,20230330,w
CHN202303300,thomk002,CHN,3,2,0,0,0,1,0,0,20230330,w
CHN202303300,boxbb001,CHN,3,3,0,0,0,1,0,0,20230330,w
CHN202303300,fulmm001,CHN,3,4,1,0,0,0,0,0,20230330,w
CIN202303300,kellm003,PIT,14,1,5,4,4,4,0,0,20230330,w
CIN202303300,mored002,PIT,3,2,0,0,0,2,0,0,20230330,w
CIN202303300,zastr001,PIT,4,3,0,0,0,0,0,0,20230330,w
CIN202303300,holdc001,PIT,3,4,1,0,0,0,0,0,20230330,w
CIN202303300,bednd001,PIT,3,5,1,0,0,0,0,0,20230330,w
CIN202303300,greeh001,CIN,10,1,5,3,3,3,0,0,20230330,l
CIN202303300,cruzf002,CIN,1,2,0,1,1,3,0,1,20230330,l
CIN202303300,youna002,CIN,5,3,0,0,0,1,0,0,20230330,l
CIN202303300,law-d001,CIN,5,4,1,0,0,0,0,0,20230330,l
CIN202303300,farmb001,CIN,3,5,0,1,1,1,0,0,20230330,l
CIN202303300,gibai001,CIN,3,6,0,0,0,1,0,0,20230330,l
HOU202303300,ceasd001,CHA,19,1,2,1,1,0,1,0,20230330,w
HOU202303300,bumma001,CHA,2,2,0,0,0,1,0,1,20230330,w
HOU202303300,gravk001,CHA,3,3,1,0,0,0,0,0,20230330,w
HOU202303300,loper003,CHA,3,4,1,1,1,1,0,0,20230330,w
HOU202303300,valdf001,HOU,15,1,6,0,0,0,1,0,20230330,l
HOU202303300,abreb002,HOU,3,2,0,0,0,0,0,0,20230330,l
HOU202303300,nerih001,HOU,3,3,2,0,0,0,0,0,20230330,l
HOU202303300,montr004,HOU,3,4,1,1,1,0,0,0,20230330,l
HOU202303300,presr001,HOU,3,5,2,2,2,1,0,0,20230330,l
KCA202303300,lopep002,MIN,16,1,2,0,0,3,1,0,20230330,w
KCA202303300,thiec001,MIN,3,2,0,0,0,0,0,0,20230330,w
KCA202303300,lopej004,MIN,2,3,0,0,0,0,0,0,20230330,w
KCA202303300,jax-g001,MIN,3,4,0,0,0,1,0,0,20230330,w
KCA202303300,duraj002,MIN,3,5,0,0,0,1,0,0,20230330,w
KCA202303300,greiz001,KCA,16,1,7,2,2,1,0,0,20230330,l
KCA202303300,garra001,KCA,2,2,2,0,0,1,0,0,20230330,l
KCA202303300,coled003,KCA,3,3,1,0,0,2,0,0,20230330,l
KCA202303300,cuasj001,KCA,3,4,0,0,0,0,0,0,20230330,l
KCA202303300,hernc006,KCA,3,5,1,0,0,0,0,0,20230330,l
LAN202303300,gallz001,ARI,14,1,6,5,5,3,0,0,20230330,l
LAN202303300,sulsc001,ARI,3,2,2,2,2,1,0,0,20230330,l
LAN202303300,nelsk001,ARI,3,3,2,0,0,0,0,0,20230330,l
LAN202303300,vargc003,ARI,2,4,2,1,1,1,0,0,20230330,l
LAN202303300,ginkk001,ARI,2,5,0,0,0,0,0,0,20230330,l
LAN202303300,uriaj001,LAN,18,1,4,2,2,0,1,0,20230330,w
LAN202303300,bickp001,LAN,3,2,0,0,0,0,0,0,20230330,w
LAN202303300,mills001,LAN,3,3,0,0,0,0,0,0,20230330,w
LAN202303300,almoy001,LAN,3,4,0,0,0,0,0,0,20230330,w
MIA202303300,schem001,NYN,18,1,4,3,3,2,0,0,20230330,w
MIA202303300,smitd009,NYN,3,2,1,0,0,0,0,0,20230330,w
MIA202303300,raleb001,NYN,3,3,0,0,0,0,0,0,20230330,w
MIA202303300,robed002,NYN,3,4,0,0,0,0,0,0,20230330,w
MIA202303300,alcas001,MIA,17,1,3,3,3,4,0,0,20230330,l
MIA202303300,narda001,MIA,1,2,0,0,0,0,0,0,20230330,l
MIA202303300,scott003,MIA,1,3,2,2,2,1,0,0,20230330,l
MIA202303300,charj001,MIA,2,4,0,0,0,0,0,0,20230330,l
MIA202303300,brazh001,MIA,6,5,3,0,0,0,1,1,20230330,l
NYA202303300,webbl001,SFN,18,1,4,4,4,2,0,0,20230330,l
NYA202303300,brebj001,SFN,3,2,3,1,1,0,0,0,20230330,l
NYA202303300,roget002,SFN,3,3,1,0,0,0,0,0,20230330,l
NYA202303300,coleg001,NYA,18,1,3,0,0,2,0,0,20230330,w
NYA202303300,peraw002,NYA,2,2,1,0,0,0,0,0,20230330,w
NYA202303300,loaij001,NYA,1,3,0,0,0,0,0,0,20230330,w
NYA202303300,marir001,NYA,6,4,0,0,0,1,0,0,20230330,w
OAK202303300,ohtas001,ANA,18,1,2,0,0,3,0,0,20230330,l
OAK202303300,hergj001,ANA,3,2,0,0,0,0,0,0,20230330,l
OAK202303300,loupa001,ANA,1,3,2,2,2,0,0,0,20230330,l
OAK202303300,teper001,ANA,2,4,2,0,0,1,0,0,20230330,l
OAK202303300,mullk001,OAK,15,1,4,1,1,1,0,1,20230330,w
OAK202303300,jackz002,OAK,3,2,0,0,0,1,0,0,20230330,w
OAK202303300,acevd001,OAK,3,3,0,0,0,0,0,0,20230330,w
OAK202303300,may-t001,OAK,3,4,1,0,0,1,0,0,20230330,w
OAK202303300,jimed002,OAK,3,5,0,0,0,1,0,0,20230330,w
SDN202303300,marqg001,COL,18,1,5,2,2,0,0,0,20230330,w
SDN202303300,lamed001,COL,3,2,2,0,0,0,0,0,20230330,w
SDN202303300,lawrj002,COL,3,3,0,0,0,0,0,0,20230330,w
SDN202303300,birdj001,COL,3,4,0,0,0,1,0,0,20230330,w
SDN202303300,snelb001,SDN,13,1,6,3,3,1,0,1,20230330,l
SDN202303300,crisn001,SDN,5,2,4,2,2,0,0,1,20230330,l
SDN202303300,tapid001,SDN,6,3,5,2,2,0,0,0,20230330,l
SDN202303300,wilss002,SDN,3,4,2,0,0,0,0,0,20230330,l
SEA202303300,biebs001,CLE,18,1,6,0,0,0,0,2,20230330,l
SEA202303300,stept002,CLE,3,2,0,0,0,0,0,0,20230330,l
SEA202303300,karij001,CLE,1,3,1,3,3,1,1,0,20230330,l
SEA202303300,deloe001,CLE,2,4,0,0,0,0,0,0,20230330,l
SEA202303300,castl003,SEA,18,1,1,0,0,0,0,0,20230330,w
SEA202303300,brasm001,SEA,3,2,1,0,0,0,0,0,20230330,w
SEA202303300,sewap001,SEA,3,3,0,0,0,0,0,0,20230330,w
SEA202303300,munoa002,SEA,3,4,2,0,0,0,0,0,20230330,w
SLN202303300,manoa001,TOR,10,1,9,5,5,2,0,0,20230330,w
SLN202303300,pop-z001,TOR,4,2,0,0,0,0,0,0,20230330,w
SLN202303300,swane001,TOR,3,3,0,0,0,0,0,0,20230330,w
SLN202303300,mayzt001,TOR,0,4,3,1,1,0,0,0,20230330,w
SLN202303300,bassa001,TOR,1,5,1,1,1,1,0,0,20230330,w
SLN202303300,cimba001,TOR,3,6,0,0,0,1,0,0,20230330,w
SLN202303300,garcy001,TOR,3,7,2,2,2,2,0,0,20230330,w
SLN202303300,romaj004,TOR,3,8,0,0,0,0,0,0,20230330,w
SLN202303300,mikom001,SLN,10,1,10,5,5,0,1,0,20230330,l
SLN202303300,thomz002,SLN,5,2,1,0,0,0,0,0,20230330,l
SLN202303300,verhd001,SLN,2,3,1,0,0,0,0,0,20230330,l
SLN202303300,palla001,SLN,4,4,2,1,1,1,0,0,20230330,l
SLN202303300,hickj002,SLN,3,5,3,2,2,1,0,1,20230330,l
SLN202303300,helsr001,SLN,3,6,2,2,2,1,0,0,20230330,l
