gid,id,team,p_seq,p_h,p_r,p_er,p_w,p_hbp,p_wp,date,wl
BOS202303300,Kyle Gibson,BAL,1,6,4,4,1,1,0,03/30/2023,w
BOS202303300,Keegan Akin,BAL,2,1,0,0,0,0,0,03/30/2023,w
BOS202303300,Cionel Perez,BAL,3,0,0,0,0,0,0,03/30/2023,w
BOS202303300,Bryan Baker,BAL,4,2,3,3,1,1,0,03/30/2023,w
BOS202303300,Logan Gillaspie,BAL,5,0,0,0,0,0,0,03/30/2023,w
BOS202303300,Felix Bautista,BAL,6,2,2,1,1,0,0,03/30/2023,w
BOS202303300,Corey Kluber,BOS,1,6,5,5,4,0,0,03/30/2023,l
BOS202303300,Zack Kelly,BOS,2,0,0,0,2,0,1,03/30/2023,l
BOS202303300,Ryan Brasier,BOS,3,2,3,3,2,1,1,03/30/2023,l
BOS202303300,Kaleb Ort,BOS,4,4,2,2,0,0,0,03/30/2023,l
BOS202303300,Josh Winckowski,BOS,5,1,0,0,0,0,0,03/30/2023,l
BOS202303300,Chris Martin,BOS,6,2,0,0,1,0,0,03/30/2023,l
CHN202303300,Corbin Burnes,MIL,1,4,4,4,3,1,0,03/30/2023,l
CHN202303300,Peter Strzelecki,MIL,2,0,0,0,0,0,0,03/30/2023,l
CHN202303300,Gus Varland,MIL,3,2,0,0,1,0,0,03/30/2023,l
CHN202303300,Javy Guerra,MIL,4,0,0,0,0,0,0,03/30/2023,l
CHN202303300,Marcus Stroman,CHN,1,3,0,0,3,0,1,03/30/2023,w
CHN202303300,Keegan Thompson,CHN,2,0,0,0,1,0,0,03/30/2023,w
CHN202303300,Brad Boxberger,CHN,3,0,0,0,1,0,0,03/30/2023,w
CHN202303300,Michael Fulmer,CHN,4,1,0,0,0,0,0,03/30/2023,w
CIN202303300,Mitch Keller,PIT,1,5,4,4,4,0,0,03/30/2023,w
CIN202303300,Dauri Moreta,PIT,2,0,0,0,2,0,0,03/30/2023,w
CIN202303300,Rob Zastryzny,PIT,3,0,0,0,0,0,0,03/30/2023,w
CIN202303300,Colin Holderman,PIT,4,1,0,0,0,0,0,03/30/2023,w
CIN202303300,David Bednar,PIT,5,1,0,0,0,0,0,03/30/2023,w
CIN202303300,Hunter Greene,CIN,1,5,3,3,3,0,0,03/30/2023,l
CIN202303300,Fernando Cruz,CIN,2,0,1,1,3,0,1,03/30/2023,l
CIN202303300,Alex Young,CIN,3,0,0,0,1,0,0,03/30/2023,l
CIN202303300,Derek Law,CIN,4,1,0,0,0,0,0,03/30/2023,l
CIN202303300,Buck Farmer,CIN,5,0,1,1,1,0,0,03/30/2023,l
CIN202303300,Ian Gibaut,CIN,6,0,0,0,1,0,0,03/30/2023,l
HOU202303300,Dylan Cease,CHA,1,2,1,1,0,1,0,03/30/2023,w
HOU202303300,Aaron Bummer,CHA,2,0,0,0,1,0,1,03/30/2023,w
HOU202303300,Kendall Graveman,CHA,3,1,0,0,0,0,0,03/30/2023,w
HOU202303300,Reynaldo Lopez,CHA,4,1,1,1,1,0,0,03/30/2023,w
HOU202303300,Framber Valdez,HOU,1,6,0,0,0,1,0,03/30/2023,l
